Marker Name,Marker Type,Marker Event Id,Marker Event Id 2,TimeStamp,TimeStamp2,value1,value2
Frame Marker,2,244,-1,9.6999,-1,-1,-1
Frame Marker,2,244,-1,9.73322,-1,-1,-1
Frame Marker,2,244,-1,9.76657,-1,-1,-1
Frame Marker,2,244,-1,9.7999,-1,-1,-1
Frame Marker,2,244,-1,9.83323,-1,-1,-1
Frame Marker,2,244,-1,9.86657,-1,-1,-1
Frame Marker,2,244,-1,9.8999,-1,-1,-1
Frame Marker,2,244,-1,9.93323,-1,-1,-1
Frame Marker,2,244,-1,9.96658,-1,-1,-1
Frame Marker,2,244,-1,9.9999,-1,-1,-1
Frame Marker,2,244,-1,10.0332,-1,-1,-1
Frame Marker,2,244,-1,10.0666,-1,-1,-1
Frame Marker,2,244,-1,10.0999,-1,-1,-1
Frame Marker,2,244,-1,10.1332,-1,-1,-1
Frame Marker,2,244,-1,10.1666,-1,-1,-1
Frame Marker,2,244,-1,10.1999,-1,-1,-1
Frame Marker,2,244,-1,10.2332,-1,-1,-1
Frame Marker,2,244,-1,10.2666,-1,-1,-1
Frame Marker,2,244,-1,10.2999,-1,-1,-1
Frame Marker,2,244,-1,10.3332,-1,-1,-1
Frame Marker,2,244,-1,10.3666,-1,-1,-1
Frame Marker,2,244,-1,10.3999,-1,-1,-1
Frame Marker,2,244,-1,10.4332,-1,-1,-1
Frame Marker,2,244,-1,10.4666,-1,-1,-1
Frame Marker,2,244,-1,10.4999,-1,-1,-1
Frame Marker,2,244,-1,10.5332,-1,-1,-1
Frame Marker,2,244,-1,10.5665,-1,-1,-1
Frame Marker,2,244,-1,10.5999,-1,-1,-1
Frame Marker,2,244,-1,10.6332,-1,-1,-1
Frame Marker,2,244,-1,10.6666,-1,-1,-1
Frame Marker,2,244,-1,10.6999,-1,-1,-1
Frame Marker,2,244,-1,10.7332,-1,-1,-1
Frame Marker,2,244,-1,10.7666,-1,-1,-1
Frame Marker,2,244,-1,10.7999,-1,-1,-1
Frame Marker,2,244,-1,10.8332,-1,-1,-1
Frame Marker,2,244,-1,10.8666,-1,-1,-1
Frame Marker,2,244,-1,10.8999,-1,-1,-1
Frame Marker,2,244,-1,10.9332,-1,-1,-1
Frame Marker,2,244,-1,10.9666,-1,-1,-1
Frame Marker,2,244,-1,10.9999,-1,-1,-1
Frame Marker,2,244,-1,11.0332,-1,-1,-1
Frame Marker,2,244,-1,11.0665,-1,-1,-1
Frame Marker,2,244,-1,11.0999,-1,-1,-1
Frame Marker,2,244,-1,11.1332,-1,-1,-1
Frame Marker,2,244,-1,11.1666,-1,-1,-1
Frame Marker,2,244,-1,11.1999,-1,-1,-1
Frame Marker,2,244,-1,11.2332,-1,-1,-1
Frame Marker,2,244,-1,11.2666,-1,-1,-1
Frame Marker,2,244,-1,11.2999,-1,-1,-1
Frame Marker,2,244,-1,11.3332,-1,-1,-1
Frame Marker,2,244,-1,11.3666,-1,-1,-1
Frame Marker,2,244,-1,11.3999,-1,-1,-1
Frame Marker,2,244,-1,11.4332,-1,-1,-1
Frame Marker,2,244,-1,11.4666,-1,-1,-1
Frame Marker,2,244,-1,11.4999,-1,-1,-1
Frame Marker,2,244,-1,11.5332,-1,-1,-1
Frame Marker,2,244,-1,11.5665,-1,-1,-1
Frame Marker,2,244,-1,11.5999,-1,-1,-1
Frame Marker,2,244,-1,11.6332,-1,-1,-1
Frame Marker,2,244,-1,11.6666,-1,-1,-1
Frame Marker,2,244,-1,11.6999,-1,-1,-1
Frame Marker,2,244,-1,11.7332,-1,-1,-1
Frame Marker,2,244,-1,11.7666,-1,-1,-1
Frame Marker,2,244,-1,11.7999,-1,-1,-1
Frame Marker,2,244,-1,11.8332,-1,-1,-1
Frame Marker,2,244,-1,11.8666,-1,-1,-1
